,Messier,Opp_date,Angle,Brightness
0,M1,DEC 16 2023,178.64133170105558,8.4
1,M2,AUG 18 2023,165.48587893057973,6.5
2,M3,APR  1 2023,144.05504537532275,6.39
3,M4,MAY 29 2023,175.1159008486078,5.6
4,M5,MAY  7 2023,160.35027906253285,5.6
5,M6,JUN 16 2023,171.13836360811172,4.2
6,M7,JUN 19 2023,168.6069460354904,3.3
7,M8,JUN 22 2023,179.0163897028446,4.6
8,M9,JUN 11 2023,175.4140725685187,7.7
9,M10,JUN  4 2023,161.5553676824071,6.6
10,M11,JUL  5 2023,163.41204899154462,5.8
11,M12,JUN  1 2023,159.72444631913413,6.7
12,M13,MAY 20 2023,122.15230780528677,5.8
13,M14,JUN 15 2023,159.92137780965678,7.6
14,M15,AUG 22 2023,154.52485242889443,6.2
15,M16,JUN 26 2023,170.45138390436733,6.4
16,M17,JUN 26 2023,172.82682874179878,6.0
17,M18,JUN 26 2023,173.777729297644,7.5
18,M19,JUN  7 2023,176.5084260696088,6.8
19,M20,JUN 21 2023,179.4086314132428,6.3
20,M21,JUN 22 2023,179.06709600650368,6.5
21,M22,JUN 30 2023,179.17475959942908,5.1
22,M23,JUN 20 2023,175.58097862281988,5.5
23,M24,JUN 25 2023,175.09758062655004,2.5
24,M25,JUN 29 2023,175.98858136184163,4.6
25,M26,JUL  3 2023,166.40685391570705,8.0
26,M27,JUL 31 2023,137.74569843907574,7.4
27,M28,JUN 27 2023,178.42465897046165,6.8
28,M29,AUG 17 2023,124.59387063265001,7.1
29,M30,AUG 12 2023,171.26315301121346,7.2
30,M31,OCT 21 2023,146.64823514981282,3.44
31,M32,OCT 21 2023,146.9987704883625,8.08
32,M33,OCT 26 2023,160.6300133423876,5.72
33,M34,NOV 14 2023,154.31678898287979,5.5
34,M35,DEC 23 2023,178.98250142210165,5.3
35,M36,DEC 16 2023,169.18969213750992,6.3
36,M37,DEC 20 2023,170.87414617721862,6.2
37,M38,DEC 15 2023,167.40683707117364,7.4
38,M39,SEP 15 2023,122.19886149996954,4.6
39,M40,FEB 19 2023,126.95108379256466,5.6
40,M41,JAN  5 2023,136.38925366882177,4.5
41,M42,DEC 15 2023,151.31711133067392,4.0
42,M43,DEC 14 2023,151.44585208392482,9.0
43,M44,JAN 27 2023,178.7023577328146,3.7
44,M45,NOV 22 2023,175.92743269492266,1.6
45,M46,JAN 20 2023,144.3803472634636,6.0
46,M47,JAN 19 2023,144.441851715336,4.4
47,M48,JAN 27 2023,154.9789739808728,5.8
48,M49,MAR 24 2023,169.70263308609898,8.4
49,M50,JAN  8 2023,149.21961441344538,5.9
50,M51,MAR 15 2023,129.0624606125263,8.4
51,M52,OCT 24 2023,123.22099856747177,7.3
52,M53,MAR 30 2023,156.14776498981004,7.6
53,M54,JUL  3 2023,172.38128551321748,7.6
54,M55,JUL 13 2023,170.6133876192326,6.3
55,M56,JUL 20 2023,128.17647678457564,8.3
56,M57,JUL 12 2023,124.46375472000813,8.8
57,M58,MAR 24 2023,165.42183676641898,9.7
58,M59,MAR 25 2023,165.14851158700267,9.6
59,M60,MAR 26 2023,165.06933763252547,8.8
60,M61,MAR 23 2023,173.70578581354144,9.7
61,M62,JUN  7 2023,172.65980848667434,6.5
62,M63,MAR 16 2023,134.74133437541914,9.3
63,M64,MAR 24 2023,154.56204436601718,8.52
64,M65,MAR  6 2023,172.00886174477878,9.3
65,M66,MAR  6 2023,171.98607123321688,8.9
66,M67,JAN 31 2023,174.36887056188584,6.1
67,M68,APR  9 2023,159.39040709869388,7.8
68,M69,JUN 28 2023,170.90647793740075,7.6
69,M70,JUL  1 2023,170.79017736724515,7.9
70,M71,JUL 28 2023,141.2101979683967,8.2
71,M72,AUG  4 2023,175.22989544635547,9.3
72,M73,AUG  5 2023,175.67101330278183,9.0
73,M74,OCT 21 2023,174.67165124520128,9.4
74,M75,JUL 21 2023,178.37005612802517,8.5
75,M76,NOV  7 2023,142.2471208332124,10.1
76,M77,OCT 31 2023,164.98783160841964,8.9
77,M78,DEC 18 2023,156.655784837734,8.3
78,M79,DEC  9 2023,132.41207678507052,7.7
79,M80,MAY 27 2023,178.364945038134,7.3
80,M81,JAN 19 2023,128.41732127260659,6.94
81,M82,JAN 19 2023,127.88832776089042,8.41
82,M83,APR 23 2023,161.62503695134373,7.6
83,M84,MAR 21 2023,165.69965101238708,9.1
84,M85,MAR 17 2023,160.78476456117633,9.1
85,M86,MAR 21 2023,165.53638400626755,8.9
86,M87,MAR 22 2023,165.58160295811197,8.6
87,M88,MAR 22 2023,163.61060546767237,9.6
88,M89,MAR 23 2023,164.94998304465142,9.8
89,M90,MAR 23 2023,164.28023578581795,9.5
90,M91,MAR 22 2023,163.19875087421164,10.2
91,M92,JUN  1 2023,114.14515854292429,6.4
92,M93,JAN 24 2023,135.71971649760746,6.0
93,M94,MAR 12 2023,137.9783277426619,8.2
94,M95,FEB 26 2023,176.59915372325472,9.7
95,M96,FEB 27 2023,176.22830194009407,9.2
96,M97,FEB 11 2023,135.06672627081664,9.9
97,M98,MAR 17 2023,164.98218321662586,10.1
98,M99,MAR 17 2023,164.84670820307304,9.9
99,M100,MAR 17 2023,163.13470780563986,9.3
100,M101/102,MAR 14 2023,120.1995946302423,7.9
101,M103,NOV 11 2023,133.67430668123467,7.4
102,M104,APR  3 2023,173.26917167686423,8.0
103,M105,FEB 27 2023,175.42328750760274,9.3
104,M106,MAR  1 2023,135.84212128449022,8.4
105,M107,MAY 29 2023,171.23015509372362,7.9
106,M108,FEB 10 2023,134.7136883608342,10.0
107,M109,FEB 20 2023,132.7866236263379,9.8
108,M110,OCT 21 2023,146.07051442229138,8.5
