,Messier,Opp_date,Angle,Brightness
40,M41,2023-01-05,136.38925366882177,4.5
49,M50,2023-01-08,149.21961441344538,5.9
46,M47,2023-01-19,144.441851715336,4.4
80,M81,2023-01-19,128.4173212726066,6.94
81,M82,2023-01-19,127.88832776089042,8.41
45,M46,2023-01-20,144.3803472634636,6.0
92,M93,2023-01-24,135.71971649760746,6.0
43,M44,2023-01-27,178.7023577328146,3.7
47,M48,2023-01-27,154.9789739808728,5.8
66,M67,2023-01-31,174.36887056188584,6.1
106,M108,2023-02-10,134.7136883608342,10.0
96,M97,2023-02-11,135.06672627081664,9.9
39,M40,2023-02-19,126.95108379256466,5.6
107,M109,2023-02-20,132.7866236263379,9.8
94,M95,2023-02-26,176.59915372325472,9.7
95,M96,2023-02-27,176.22830194009407,9.2
103,M105,2023-02-27,175.42328750760274,9.3
104,M106,2023-03-01,135.84212128449022,8.4
65,M66,2023-03-06,171.98607123321688,8.9
64,M65,2023-03-06,172.00886174477878,9.3
93,M94,2023-03-12,137.9783277426619,8.2
100,M101/102,2023-03-14,120.1995946302423,7.9
50,M51,2023-03-15,129.0624606125263,8.4
62,M63,2023-03-16,134.74133437541914,9.3
84,M85,2023-03-17,160.78476456117633,9.1
99,M100,2023-03-17,163.13470780563986,9.3
98,M99,2023-03-17,164.84670820307304,9.9
97,M98,2023-03-17,164.98218321662586,10.1
85,M86,2023-03-21,165.53638400626755,8.9
83,M84,2023-03-21,165.69965101238708,9.1
86,M87,2023-03-22,165.58160295811197,8.6
87,M88,2023-03-22,163.61060546767237,9.6
90,M91,2023-03-22,163.19875087421164,10.2
89,M90,2023-03-23,164.28023578581795,9.5
60,M61,2023-03-23,173.70578581354144,9.7
88,M89,2023-03-23,164.94998304465142,9.8
48,M49,2023-03-24,169.70263308609898,8.4
63,M64,2023-03-24,154.56204436601718,8.52
57,M58,2023-03-24,165.42183676641898,9.7
58,M59,2023-03-25,165.14851158700267,9.6
59,M60,2023-03-26,165.06933763252547,8.8
52,M53,2023-03-30,156.14776498981004,7.6
2,M3,2023-04-01,144.05504537532275,6.39
102,M104,2023-04-03,173.26917167686423,8.0
67,M68,2023-04-09,159.39040709869388,7.8
82,M83,2023-04-23,161.62503695134373,7.6
4,M5,2023-05-07,160.35027906253285,5.6
12,M13,2023-05-20,122.15230780528675,5.8
79,M80,2023-05-27,178.364945038134,7.3
3,M4,2023-05-29,175.1159008486078,5.6
105,M107,2023-05-29,171.23015509372362,7.9
91,M92,2023-06-01,114.14515854292428,6.4
11,M12,2023-06-01,159.72444631913413,6.7
9,M10,2023-06-04,161.5553676824071,6.6
61,M62,2023-06-07,172.65980848667434,6.5
18,M19,2023-06-07,176.5084260696088,6.8
8,M9,2023-06-11,175.4140725685187,7.7
13,M14,2023-06-15,159.92137780965678,7.6
5,M6,2023-06-16,171.13836360811172,4.2
6,M7,2023-06-19,168.6069460354904,3.3
22,M23,2023-06-20,175.58097862281988,5.5
19,M20,2023-06-21,179.4086314132428,6.3
7,M8,2023-06-22,179.0163897028446,4.6
20,M21,2023-06-22,179.06709600650368,6.5
23,M24,2023-06-25,175.09758062655004,2.5
16,M17,2023-06-26,172.82682874179878,6.0
15,M16,2023-06-26,170.45138390436733,6.4
17,M18,2023-06-26,173.777729297644,7.5
27,M28,2023-06-27,178.42465897046165,6.8
68,M69,2023-06-28,170.90647793740075,7.6
24,M25,2023-06-29,175.98858136184165,4.6
21,M22,2023-06-30,179.17475959942908,5.1
69,M70,2023-07-01,170.79017736724515,7.9
53,M54,2023-07-03,172.38128551321748,7.6
25,M26,2023-07-03,166.40685391570705,8.0
10,M11,2023-07-05,163.41204899154462,5.8
56,M57,2023-07-12,124.46375472000813,8.8
54,M55,2023-07-13,170.6133876192326,6.3
55,M56,2023-07-20,128.17647678457564,8.3
74,M75,2023-07-21,178.37005612802517,8.5
70,M71,2023-07-28,141.2101979683967,8.2
26,M27,2023-07-31,137.74569843907574,7.4
71,M72,2023-08-04,175.22989544635547,9.3
72,M73,2023-08-05,175.67101330278183,9.0
29,M30,2023-08-12,171.26315301121346,7.2
28,M29,2023-08-17,124.59387063265,7.1
1,M2,2023-08-18,165.48587893057973,6.5
14,M15,2023-08-22,154.52485242889443,6.2
38,M39,2023-09-15,122.19886149996954,4.6
30,M31,2023-10-21,146.64823514981282,3.44
31,M32,2023-10-21,146.9987704883625,8.08
108,M110,2023-10-21,146.07051442229138,8.5
73,M74,2023-10-21,174.67165124520128,9.4
51,M52,2023-10-24,123.22099856747175,7.3
32,M33,2023-10-26,160.6300133423876,5.72
76,M77,2023-10-31,164.98783160841964,8.9
75,M76,2023-11-07,142.2471208332124,10.1
78,M79,2023-11-09,132.41207678507052,7.7
101,M103,2023-11-11,133.67430668123467,7.4
33,M34,2023-11-14,154.3167889828798,5.5
42,M43,2023-11-14,151.44585208392482,9.0
41,M42,2023-11-15,151.31711133067392,4.0
37,M38,2023-11-15,167.40683707117364,7.4
35,M36,2023-11-16,169.18969213750992,6.3
0,M1,2023-11-16,178.64133170105558,8.4
77,M78,2023-11-18,156.655784837734,8.3
36,M37,2023-11-20,170.87414617721862,6.2
44,M45,2023-11-22,175.92743269492266,1.6
34,M35,2023-11-23,178.98250142210165,5.3
