Date,RA(hms),Dec(dms)
JAN  1 2023,18:48: 4,-22:58:41
JAN  2 2023,18:52:28,-22:53:24
JAN  3 2023,18:56:52,-22:47:39
JAN  4 2023,19: 1:17,-22:41:26
JAN  5 2023,19: 5:39,-22:34:48
JAN  6 2023,19:10: 2,-22:27:42
JAN  7 2023,19:14:25,-22:20: 8
JAN  8 2023,19:18:47,-22:12:11
JAN  9 2023,19:23: 8,-22: 3:45
JAN 10 2023,19:27:30,-21:54:54
JAN 11 2023,19:31:49,-21:45:39
JAN 12 2023,19:36: 9,-21:35:56
JAN 13 2023,19:40:29,-21:25:48
JAN 14 2023,19:44:47,-21:15:18
JAN 15 2023,19:49: 5,-21: 4:21
JAN 16 2023,19:53:23,-20:53: 0
JAN 17 2023,19:57:39,-20:41:17
JAN 18 2023,20: 1:55,-20:29: 8
JAN 19 2023,20: 6:10,-20:16:36
JAN 20 2023,20:10:24,-20: 3:44
JAN 21 2023,20:14:38,-19:50:27
JAN 22 2023,20:18:52,-19:36:47
JAN 23 2023,20:23: 3,-19:22:48
JAN 24 2023,20:27:15,-19: 8:25
JAN 25 2023,20:31:26,-18:53:41
JAN 26 2023,20:35:35,-18:38:39
JAN 27 2023,20:39:44,-18:23:14
JAN 28 2023,20:43:53,-18: 7:28
JAN 29 2023,20:47:59,-17:51:27
JAN 30 2023,20:52: 6,-17:35: 3
JAN 31 2023,20:56:12,-17:18:20

FEB  1 2023,21: 0:16,-17: 1:23
FEB  2 2023,21: 4:20,-16:44: 4
FEB  3 2023,21: 8:24,-16:26:27
FEB  4 2023,21:12:26,-16: 8:37
FEB  5 2023,21:16:27,-15:50:26
FEB  6 2023,21:20:28,-15:31:59
FEB  7 2023,21:24:28,-15:13:21
FEB  8 2023,21:28:27,-14:54:22
FEB  9 2023,21:32:26,-14:35: 8
FEB 10 2023,21:36:23,-14:15:45
FEB 11 2023,21:40:20,-13:56: 2
FEB 12 2023,21:44:16,-13:36: 5
FEB 13 2023,21:48:11,-13:16: 1
FEB 14 2023,21:52: 6,-12:55:38
FEB 15 2023,21:56: 0,-12:35: 2
FEB 16 2023,21:59:53,-12:14:20
FEB 17 2023,22: 3:46,-11:53:20
FEB 18 2023,22: 7:38,-11:32:10
FEB 19 2023,22:11:28,-11:10:53
FEB 20 2023,22:15:19,-10:49:21
FEB 21 2023,22:19: 9,-10:27:39
FEB 22 2023,22:22:58,-10: 5:52
FEB 23 2023,22:26:47, -9:43:51
FEB 24 2023,22:30:35, -9:21:41
FEB 25 2023,22:34:22, -8:59:28
FEB 26 2023,22:38: 9, -8:37: 1
FEB 27 2023,22:41:55, -8:14:27
FEB 28 2023,22:45:40, -7:51:51

MAR  1 2023,22:49:26, -7:29: 2
MAR  2 2023,22:53:11, -7: 6: 7
MAR  3 2023,22:56:54, -6:43:12
MAR  4 2023,23: 0:38, -6:20: 6
MAR  5 2023,23: 4:21, -5:56:54
MAR  6 2023,23: 8: 4, -5:33:43
MAR  7 2023,23:11:46, -5:10:21
MAR  8 2023,23:15:28, -4:46:56
MAR  9 2023,23:19: 9, -4:23:33
MAR 10 2023,23:22:51, -4: 0: 0
MAR 11 2023,23:26:32, -3:36:25
MAR 12 2023,23:30:12, -3:12:53
MAR 13 2023,23:33:53, -2:49:12
MAR 14 2023,23:37:33, -2:25:30
MAR 15 2023,23:41:12, -2: 1:53
MAR 16 2023,23:44:52, -1:38: 8
MAR 17 2023,23:48:32, -1:14:22
MAR 18 2023,23:52:11, -0:50:43
MAR 19 2023,23:55:50, -0:26:57
MAR 20 2023,23:59:29, -0: 3:12
MAR 21 2023, 0: 3: 8,  0:20:27
MAR 22 2023, 0: 6:47,  0:44:10
MAR 23 2023, 0:10:26,  1: 7:52
MAR 24 2023, 0:14: 4,  1:31:26
MAR 25 2023, 0:17:42,  1:55: 4
MAR 26 2023, 0:21:21,  2:18:40
MAR 27 2023, 0:24:59,  2:42: 6
MAR 28 2023, 0:28:38,  3: 5:35
MAR 29 2023, 0:32:17,  3:29: 1
MAR 30 2023, 0:35:55,  3:52:17
MAR 31 2023, 0:39:33,  4:15:34

APR  1 2023, 0:43:12,  4:38:47
APR  2 2023, 0:46:51,  5: 1:48
APR  3 2023, 0:50:30,  5:24:51
APR  4 2023, 0:54: 9,  5:47:47
APR  5 2023, 0:57:48,  6:10:32
APR  6 2023, 1: 1:27,  6:33:16
APR  7 2023, 1: 5: 7,  6:55:53
APR  8 2023, 1: 8:47,  7:18:18
APR  9 2023, 1:12:27,  7:40:41
APR 10 2023, 1:16: 8,  8: 2:56
APR 11 2023, 1:19:48,  8:24:57
APR 12 2023, 1:23:29,  8:46:55
APR 13 2023, 1:27:11,  9: 8:45
APR 14 2023, 1:30:51,  9:30:20
APR 15 2023, 1:34:34,  9:51:51
APR 16 2023, 1:38:17, 10:13:12
APR 17 2023, 1:41:59, 10:34:17
APR 18 2023, 1:45:42, 10:55:18
APR 19 2023, 1:49:26, 11:16: 8
APR 20 2023, 1:53: 9, 11:36:41
APR 21 2023, 1:56:54, 11:57: 8
APR 22 2023, 2: 0:39, 12:17:23
APR 23 2023, 2: 4:24, 12:37:21
APR 24 2023, 2: 8:10, 12:57:12
APR 25 2023, 2:11:56, 13:16:49
APR 26 2023, 2:15:42, 13:36: 9
APR 27 2023, 2:19:30, 13:55:20
APR 28 2023, 2:23:18, 14:14:18
APR 29 2023, 2:27: 5, 14:32:56
APR 30 2023, 2:30:54, 14:51:25

MAY  1 2023, 2:34:44, 15: 9:39
MAY  2 2023, 2:38:33, 15:27:33
MAY  3 2023, 2:42:23, 15:45:17
MAY  4 2023, 2:46:14, 16: 2:45
MAY  5 2023, 2:50: 5, 16:19:52
MAY  6 2023, 2:53:57, 16:36:48
MAY  7 2023, 2:57:50, 16:53:27
MAY  8 2023, 3: 1:42, 17: 9:45
MAY  9 2023, 3: 5:36, 17:25:50
MAY 10 2023, 3: 9:31, 17:41:37
MAY 11 2023, 3:13:25, 17:57: 3
MAY 12 2023, 3:17:21, 18:12:14
MAY 13 2023, 3:21:17, 18:27: 7
MAY 14 2023, 3:25:13, 18:41:38
MAY 15 2023, 3:29:10, 18:55:53
MAY 16 2023, 3:33: 8, 19: 9:49
MAY 17 2023, 3:37: 6, 19:23:22
MAY 18 2023, 3:41: 5, 19:36:39
MAY 19 2023, 3:45: 5, 19:49:35
MAY 20 2023, 3:49: 4, 20: 2: 9
MAY 21 2023, 3:53: 5, 20:14:24
MAY 22 2023, 3:57: 6, 20:26:19
MAY 23 2023, 4: 1: 7, 20:37:50
MAY 24 2023, 4: 5: 9, 20:49: 3
MAY 25 2023, 4: 9:12, 20:59:54
MAY 26 2023, 4:13:14, 21:10:21
MAY 27 2023, 4:17:18, 21:20:28
MAY 28 2023, 4:21:22, 21:30:14
MAY 29 2023, 4:25:26, 21:39:34
MAY 30 2023, 4:29:31, 21:48:34
MAY 31 2023, 4:33:37, 21:57:12

JUN  1 2023, 4:37:41, 22: 5:24
JUN  2 2023, 4:41:48, 22:13:15
JUN  3 2023, 4:45:54, 22:20:43
JUN  4 2023, 4:50: 0, 22:27:46
JUN  5 2023, 4:54: 8, 22:34:27
JUN  6 2023, 4:58:15, 22:40:44
JUN  7 2023, 5: 2:22, 22:46:36
JUN  8 2023, 5: 6:30, 22:52: 5
JUN  9 2023, 5:10:39, 22:57:10
JUN 10 2023, 5:14:47, 23: 1:50
JUN 11 2023, 5:18:56, 23: 6: 6
JUN 12 2023, 5:23: 5, 23: 9:58
JUN 13 2023, 5:27:13, 23:13:25
JUN 14 2023, 5:31:23, 23:16:28
JUN 15 2023, 5:35:33, 23:19: 6
JUN 16 2023, 5:39:42, 23:21:19
JUN 17 2023, 5:43:52, 23:23: 7
JUN 18 2023, 5:48: 2, 23:24:31
JUN 19 2023, 5:52:11, 23:25:30
JUN 20 2023, 5:56:21, 23:26: 4
JUN 21 2023, 6: 0:31, 23:26:14
JUN 22 2023, 6: 4:40, 23:25:58
JUN 23 2023, 6: 8:50, 23:25:18
JUN 24 2023, 6:13: 0, 23:24:13
JUN 25 2023, 6:17: 8, 23:22:43
JUN 26 2023, 6:21:18, 23:20:49
JUN 27 2023, 6:25:27, 23:18:30
JUN 28 2023, 6:29:36, 23:15:46
JUN 29 2023, 6:33:44, 23:12:38
JUN 30 2023, 6:37:53, 23: 9: 5

JUL  1 2023, 6:42: 1, 23: 5: 8
JUL  2 2023, 6:46: 9, 23: 0:48
JUL  3 2023, 6:50:17, 22:56: 3
JUL  4 2023, 6:54:24, 22:50:53
JUL  5 2023, 6:58:30, 22:45:21
JUL  6 2023, 7: 2:37, 22:39:24
JUL  7 2023, 7: 6:44, 22:33: 3
JUL  8 2023, 7:10:49, 22:26:21
JUL  9 2023, 7:14:55, 22:19:13
JUL 10 2023, 7:19: 0, 22:11:43
JUL 11 2023, 7:23: 4, 22: 3:51
JUL 12 2023, 7:27: 9, 21:55:35
JUL 13 2023, 7:31:13, 21:46:56
JUL 14 2023, 7:35:16, 21:37:57
JUL 15 2023, 7:39:19, 21:28:34
JUL 16 2023, 7:43:22, 21:18:48
JUL 17 2023, 7:47:23, 21: 8:44
JUL 18 2023, 7:51:25, 20:58:15
JUL 19 2023, 7:55:26, 20:47:25
JUL 20 2023, 7:59:25, 20:36:17
JUL 21 2023, 8: 3:25, 20:24:46
JUL 22 2023, 8: 7:25, 20:12:54
JUL 23 2023, 8:11:23, 20: 0:44
JUL 24 2023, 8:15:21, 19:48:12
JUL 25 2023, 8:19:18, 19:35:19
JUL 26 2023, 8:23:14, 19:22:11
JUL 27 2023, 8:27:11, 19: 8:40
JUL 28 2023, 8:31: 6, 18:54:50
JUL 29 2023, 8:35: 1, 18:40:44
JUL 30 2023, 8:38:55, 18:26:17
JUL 31 2023, 8:42:49, 18:11:32

AUG  1 2023, 8:46:41, 17:56:32
AUG  2 2023, 8:50:34, 17:41:12
AUG  3 2023, 8:54:26, 17:25:34
AUG  4 2023, 8:58:17, 17: 9:43
AUG  5 2023, 9: 2: 7, 16:53:31
AUG  6 2023, 9: 5:58, 16:37: 3
AUG  7 2023, 9: 9:46, 16:20:23
AUG  8 2023, 9:13:36, 16: 3:23
AUG  9 2023, 9:17:24, 15:46: 7
AUG 10 2023, 9:21:11, 15:28:41
AUG 11 2023, 9:24:59, 15:10:56
AUG 12 2023, 9:28:46, 14:52:56
AUG 13 2023, 9:32:31, 14:34:46
AUG 14 2023, 9:36:17, 14:16:18
AUG 15 2023, 9:40: 2, 13:57:36
AUG 16 2023, 9:43:46, 13:38:46
AUG 17 2023, 9:47:30, 13:19:37
AUG 18 2023, 9:51:14, 13: 0:17
AUG 19 2023, 9:54:56, 12:40:48
AUG 20 2023, 9:58:39, 12:21: 3
