,Messier,RA_h,RA_m,RA_s,Dec_d,Dec_m,Dec_s
0,0,0.0,0,0,0.0,0.0,0.0
3,M1,5.0, 34, 31.97,22.0,0.0,52.1
5,M2,21.0, 33, 27,-0.0,49.0,24.0
7,M3,13.0, 42, 11.23,28.0,22.0,31.6
10,M4,16.0, 23, 35.41,-26.0,31.0,31.9
13,M5,15.0, 18, 33.75,2.0,4.0,57.7
16,M6,17.0, 40.1, 00,-32.0,13.0,0.0
19,M7,17.0, 53.9, 00,-34.0,49.0,0.0
22,M8,18.0, 03, 37,-24.0,23.0,12.0
25,M9,17.0, 19, 11.78,-18.0,30.0,58.5
28,M10,16.0, 57, 08.99,-4.0,5.0,57.6
31,M11,18.0, 51.1, 00,-6.0,16.0,0.0
34,M12,16.0, 47, 14.52,-1.0,56.0,52.1
39,M13,16.0, 41, 41.44,36.0,27.0,36.9
40,M14,17.0, 37, 36.15,-3.0,14.0,45.3
45,M15,21.0, 29, 58.38,12.0,10.0,0.6
48,M16,18.0, 18, 48,-13.0,49.0,0.0
51,M17,18.0, 20, 26,-16.0,10.0,36.0
52,M18,18.0, 19, 54,-17.0,7.0,60.0
55,M19,17.0, 02, 37.69,-26.0,16.0,4.6
58,M20,18.0, 02, 23,-23.0,1.0,48.0
61,M21,18.0, 04, 36,-22.0,30.0,0.0
66,M22,18.0, 36, 24.21,-23.0,54.0,12.2
68,M23,17.0, 56, 48,-19.0,1.0,0.0
70,M24,18.0, 16.5, 00,-18.0,29.0,0.0
73,M25,18.0, 31.6, 00,-19.0,15.0,0.0
77,M26,18.0, 45.2, 00,-9.0,24.0,0.0
80,M27,19.0, 59, 36.340,22.0,43.0,16.09
82,M28,18.0, 24, 32.89,-24.0,52.0,11.4
85,M29,20.0, 23, 56,38.0,31.4,0.0
89,M30,21.0, 40, 22.03,-23.0,10.0,44.6
91,M31,0.0, 42, 44.3,41.0,16.0,9.0
93,M32,0.0, 42, 41.8,40.0,51.0,55.0
95,M33,1.0, 33, 50.9,30.0,39.0,36.0
97,M34,2.0, 42.1, 00,42.0,46.0,0.0
99,M35,6.0, 09.1, 00,24.0,21.0,0.0
101,M36,5.0, 36, 12,34.0,8.0,4.0
103,M37,5.0, 52, 19,32.0,33.0,2.0
105,M38,5.0, 28, 42,35.0,51.0,18.0
107,M39,21.0, 31, 08,48.0,27.0,0.0
109,M40,12.0, 22, 12.5,58.0,4.0,59.0
1,M41,6.0, 46.0, 00,-20.0,46.0,0.0
4,M42,5.0, 35, 17.3,-5.0,23.0,28.0
9,M43,5.0, 35.6, 00,-5.0,16.0,0.0
11,M44,8.0, 40.4, 00,19.0,41.0,0.0
15,M45,3.0, 47, 24,24.0,7.0,0.0
17,M46,7.0, 41.8, 00,-14.0,49.0,0.0
20,M47,7.0, 36.6, 00,-14.0,30.0,0.0
23,M48,8.0, 13.7, 00,-5.0,45.0,0.0
26,M49,12.0, 29, 46.7,8.0,0.0,2.0
29,M50,7.0, 03.2, 00,-8.0,20.0,0.0
33,M51,13.0, 29, 52.7,47.0,11.0,43.0
35,M52,23.0, 24.2, 00,61.0,35.0,0.0
37,M53,13.0, 12, 55.3,18.0,10.0,9.0
41,M54,18.0, 55, 03.28,-30.0,28.0,42.6
44,M55,19.0, 39, 59.40,-30.0,57.0,43.5
47,M56,19.0, 16, 35.50,30.0,11.0,4.2
50,M57,18.0, 53, 35.079,33.0,1.0,45.03
54,M58,12.0, 37, 43.5,11.0,49.0,5.0
57,M59,12.0, 42, 02.3,11.0,38.0,49.0
60,M60,12.0, 43, 39.6,11.0,33.0,9.0
63,M61,12.0, 21, 54.9,4.0,28.0,25.0
64,M62,17.0, 01, 12.60,-30.0,6.0,44.5
67,M63,13.0, 15, 49.3,42.0,1.0,45.0
71,M64,12.0, 56, 43.7,21.0,40.0,58.0
74,M65,11.0, 18, 55.9,13.0,5.0,32.0
76,M66,11.0, 20, 15.0,12.0,59.0,30.0
79,M67,8.0, 51.4, 00,11.0,49.0,0.0
84,M68,12.0, 39, 28.01,-26.0,44.0,34.9
86,M69,18.0, 31, 23.23,-32.0,20.0,52.7
88,M70,18.0, 43, 12.64,-32.0,17.0,30.8
90,M71,19.0, 53, 46.11,18.0,46.0,42.3
92,M72,20.0, 53, 27.91,-12.0,32.0,13.4
94,M73,20.0, 58, 54,-12.0,38.0,0.0
96,M74,1.0, 36, 41.8,15.0,47.0,1.0
98,M75,20.0, 06, 04.75,-21.0,55.0,16.2
100,M76,1.0, 42.4, 00,51.0,34.0,0.0
102,M77,2.0, 42, 40.7,-0.0,0.0,48.0
104,M78,5.0, 46.7, 00,0.0,3.0,0.0
106,M79,5.0, 24, 10.59,-24.0,31.0,27.3
108,M80,16.0, 17, 02.51,-22.0,58.0,30.4
2,M81,9.0, 55, 33.2,69.0,3.0,55.0
6,M82,9.0, 55, 52.2,69.0,40.0,47.0
8,M83,13.0, 37, 00.9,-29.0,51.0,57.0
12,M84,12.0, 25, 03.7,12.0,53.0,13.0
14,M85,12.0, 25, 24,18.0,11.0,28.0
18,M86,12.0, 26, 11.7,12.0,56.0,46.0
21,M87,12.0, 30, 49.4,12.0,23.0,28.0
24,M88,12.0, 31, 59.2,14.0,25.0,14.0
27,M89,12.0, 35, 39.8,12.0,33.0,23.0
30,M90,12.0, 36, 49.8,13.0,9.0,46.0
32,M91,12.0, 35, 26.4,14.0,29.0,47.0
36,M92,17.0, 17, 07.27,43.0,8.0,11.5
38,M93,7.0, 44.6, 00,-23.0,52.0,0.0
42,M94,12.0, 50, 53.1,41.0,7.0,14.0
43,M95,10.0, 43, 57.7,11.0,42.0,14.0
46,M96,10.0, 46, 45.7,11.0,49.0,12.0
49,M97,11.0, 14.8, 00,55.0,1.0,0.0
53,M98,12.0, 13, 48.3,14.0,54.0,1.0
56,M99,12.0, 18, 49.6,14.0,24.0,59.0
59,M100,12.0, 22, 54.9,15.0,49.0,21.0
62,M101,14.0, 03, 12.6,54.0,20.0,57.0
65,M103,1.0, 33.2, 00,60.0,42.0,0.0
69,M104,12.0, 39, 59.4,-11.0,37.0,23.0
72,M105,10.0, 47, 49.6,12.0,34.0,54.0
75,M106,12.0, 18, 57.5,47.0,18.0,14.0
78,M107,16.0, 32, 31.91,-13.0,3.0,13.1
81,M108,11.0, 11, 31.0,55.0,40.0,27.0
83,M109,11.0, 57, 36,53.0,22.0,28.0
87,M110,0.0, 40, 22.1,41.0,41.0,7.0
